"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","351","GET - Get a single book","Parallel Tests","Thu Apr 24 12:44:03 EET 2025","passed","Thu Apr 24 12:44:03 EET 2025","tasks.apiTask.SimpleBooksApiTests","Test API","tasks.apiTask.SimpleBooksApiTests","getSingleBook"
"","1422","Given Visit https://www.saucedemo.com/,  And Load data from a class with properties file  When Login with invalid credentials Then Verify each error message","Parallel Tests","Thu Apr 24 12:44:32 EET 2025","passed","Thu Apr 24 12:44:33 EET 2025","tasks.UiTask.ScenarioOneInvalidCasesUITests","Test on Chrome","tasks.UiTask.ScenarioOneInvalidCasesUITests","loginWithInvalidCredentials_Class"
"","1390","Given Visit https://www.saucedemo.com/,  And Load data from from a JSON file  When Login with invalid credentials Then Verify each error message","Parallel Tests","Thu Apr 24 12:44:53 EET 2025","passed","Thu Apr 24 12:44:54 EET 2025","tasks.UiTask.ScenarioOneInvalidCasesUITests","Test on Chrome","tasks.UiTask.ScenarioOneInvalidCasesUITests","loginWithInvalidCredentials_JSON"
"","1282","Given Visit https://www.saucedemo.com/,  And Load data from a class with properties file  When Login with invalid credentials Then Verify each error message","Parallel Tests","Thu Apr 24 12:44:04 EET 2025","passed","Thu Apr 24 12:44:05 EET 2025","tasks.UiTask.ScenarioOneInvalidCasesUITests","Test on Chrome","tasks.UiTask.ScenarioOneInvalidCasesUITests","loginWithInvalidCredentials_Class"
"","1702","Given Visit https://www.saucedemo.com/,  And Load data from a class with properties file  When Login with invalid credentials Then Verify each error message","Parallel Tests","Thu Apr 24 12:44:34 EET 2025","passed","Thu Apr 24 12:44:36 EET 2025","tasks.UiTask.ScenarioOneInvalidCasesUITests","Test on Firefox","tasks.UiTask.ScenarioOneInvalidCasesUITests","loginWithInvalidCredentials_Class"
"","1312","Given Visit https://www.saucedemo.com/,  And Load data from a class with properties file  When Login with invalid credentials Then Verify each error message","Parallel Tests","Thu Apr 24 12:45:08 EET 2025","passed","Thu Apr 24 12:45:10 EET 2025","tasks.UiTask.ScenarioOneInvalidCasesUITests","Test on Firefox","tasks.UiTask.ScenarioOneInvalidCasesUITests","loginWithInvalidCredentials_Class"
"","2134","DELETE - Delete an order","Parallel Tests","Thu Apr 24 12:44:00 EET 2025","passed","Thu Apr 24 12:44:02 EET 2025","tasks.apiTask.SimpleBooksApiTests","Test API","tasks.apiTask.SimpleBooksApiTests","deleteOrder"
"","3884","Create - Create Authentication Access Token","Parallel Tests","Thu Apr 24 12:43:56 EET 2025","passed","Thu Apr 24 12:44:00 EET 2025","tasks.apiTask.SimpleBooksApiTests","Test API","tasks.apiTask.SimpleBooksApiTests","createAuthToken"
"","366","Test authentication with invalid token","Parallel Tests","Thu Apr 24 12:44:07 EET 2025","passed","Thu Apr 24 12:44:08 EET 2025","tasks.apiTask.SimpleBooksApiTests","Test API","tasks.apiTask.SimpleBooksApiTests","testInvalidAuthentication"
"","1168","Given Visit https://www.saucedemo.com/,  And Load data from a class with properties file  When Login with invalid credentials Then Verify each error message","Parallel Tests","Thu Apr 24 12:45:25 EET 2025","passed","Thu Apr 24 12:45:26 EET 2025","tasks.UiTask.ScenarioOneInvalidCasesUITests","Test on Firefox","tasks.UiTask.ScenarioOneInvalidCasesUITests","loginWithInvalidCredentials_Class"
